"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-07","0.00","40","62","28"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-08","0.11","47",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-09","0.01","45",,"33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-10","0.00","47",,"32"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-11","0.00","47","67","32"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-12","0.00","48","66","33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-13","0.00","46","66","39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-14","0.00","44","54","35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-15","0.00","43",,"33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-16","0.24","51",,"39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-17","0.82","48","63","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-18","0.11","41",,"31"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-19","0.00","38","53","27"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-20","0.00","46",,"40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-21","0.00","46",,"40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-22","0.00","50","56","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-23","0.06","53",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-24","0.00","51","58","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-25","0.00","51",,"44"
